КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
FE55979,1.3067653e-06,10899.0,,0,,0,,0,,0,,0,,0,0.0
GF18255,0.0121449325,3999.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF18250,0.026895903,18999.0,,0,,0,,0,1.0,0,1.0,0,0.0,0,0.0
GF18330,0.019921482,2599.0,0.4000000059604645,0,0.3000000119209289,0,0.050000000745058,0,,0,,0,,0,0.0
GF18330,1.1255074e-06,2199.0,0.3899999856948852,0,0.3100000023841858,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18330,0.019920357,2799.0,0.3899999856948852,0,0.3100000023841858,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18330,0.011420283,2199.0,0.2599999904632568,0,0.2300000041723251,0,0.050000000745058,0,,0,,0,,0,0.0
GF18330,0.0099083325,1499.0,0.3400000035762787,0,0.1099999994039535,0,0.0549999997019767,0,,0,,0,,0,0.0
GF18330,0.03432798,3499.0,0.5199999809265137,0,0.1199999973177909,0,0.050000000745058,0,0.0,0,,0,0.0,0,0.0
GF18330,0.016082464,699.0,0.1000000014901161,0,0.0799999982118606,0,0.0399999991059303,0,,0,,0,,0,0.0
GF18330,0.007952461,1699.0,0.3400000035762787,0,0.1199999973177909,0,0.050000000745058,0,,0,,0,,0,0.0
MA63751,0.0062466534,3699.0,0.2949999868869781,0,0.4099999964237213,0,0.125,0,,0,,0,,0,0.0
GF26918,0.008358688,3199.0,1.2200000286102295,0,0.4199999868869781,0,0.0799999982118606,0,,0,,0,,0,0.0
GF19424,1.2486577e-06,9799.0,0.3700000047683716,0,0.3700000047683716,0,0.4000000059604645,0,,0,,0,,0,0.0
FE41492,0.008602817,29699.0,,0,,0,,0,1.0,0,,0,0.0,0,1.0
MA76021,1.1099781e-06,2799.0,0.135000005364418,0,0.0099999997764825,0,0.1700000017881393,0,,0,,0,,0,0.0
GF18423,0.018393962,330.0,0.0949999988079071,0,0.0299999993294477,0,0.0900000035762786,0,,0,,0,,0,0.0
GF19451,0.011455829,1199.0,0.1449999958276748,0,0.025000000372529,0,0.2249999940395355,0,,0,,0,,0,0.0
GF18307,0.018388866,1799.0,0.1500000059604644,0,0.1000000014901161,0,0.050000000745058,0,,0,,0,,0,0.0
FE15851,1.1870214e-06,99.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF30954,1.070305e-06,1699.0,0.2199999988079071,0,0.025000000372529,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18250,0.026737802,4999.0,,0,,0,,0,1.0,0,1.0,0,0.0,0,0.0
